Publishing Date,Headlines,Category,Structural Hierarchy Description
10/14/2016,['PTCL earns Rs876.374mln profit in July-Sept'],TechComm,Sector in the stock market
11/17/2016,['Omantel going ahead with Pakistan WorldCall sale'],TechComm,Sector in the stock market
12/19/2016,['Pak Datacom head not quitting despite expiry of tenure'],TechComm,Sector in the stock market
2/9/2017,['PTCL’s full-year  profit falls 30pc'],TechComm,Sector in the stock market
4/9/2017,['PTCL inks deal with Malaysia’s Iflix'],TechComm,Sector in the stock market
4/14/2017,['PTCL profit falls'],TechComm,Sector in the stock market
5/14/2017,['US envoy inaugurates TRG’s IT facility'],TechComm,Sector in the stock market
6/17/2017,['PTCL’s 4G service opened in AJK'],TechComm,Sector in the stock market
7/8/2017,['PTCL commissions new submarine cable system AAE-1'],TechComm,Sector in the stock market
7/20/2017,['PTCL’s profit rises 4.4 percent to Rs2.544 billion in April-June'],TechComm,Sector in the stock market
8/10/2017,"['TPL Life, MMBL sign agreement']",TechComm,Sector in the stock market
8/19/2017,['TPL Maps launches Urdu service'],TechComm,Sector in the stock market
10/6/2017,"['TPL Life, U Bank sign agreement']",TechComm,Sector in the stock market
10/12/2017,['PTCL’s profit falls to Rs6.5 billion in Jan-Sept'],TechComm,Sector in the stock market
11/16/2017,"['UBL Omni, TPL Rupiya sign MoU']",TechComm,Sector in the stock market
11/23/2017,['PTCL to set up incubation centre'],TechComm,Sector in the stock market
11/29/2017,['TPL Corporation Limited formed'],TechComm,Sector in the stock market
12/6/2017,['PTCL wins EFP Award'],TechComm,Sector in the stock market
12/14/2017,['PTCL organises seminar'],TechComm,Sector in the stock market
12/29/2017,['PTCL wards off land grabbers’ attempts'],TechComm,Sector in the stock market
1/5/2018,['‘Investing in education vital for PTCL’'],TechComm,Sector in the stock market
1/11/2018,"['TRG Pakistan posts losses', 'PTCL gets certification']",TechComm,Sector in the stock market
1/24/2018,['PTCL injects Rs1 billion in U Bank'],TechComm,Sector in the stock market
2/2/2018,['TRG Pakistan posts losses'],TechComm,Sector in the stock market
2/15/2018,['PTCL’s profit surges 168 percent in 2017'],TechComm,Sector in the stock market
2/16/2018,"['PTCL, Microsoft sign agreements']",TechComm,Sector in the stock market
2/21/2018,"['PTCL, Telenor sign fiber leasing deal']",TechComm,Sector in the stock market
3/2/2018,['PTCL declared fastest growing brand'],TechComm,Sector in the stock market
3/6/2018,['TPL invests in financial services'],TechComm,Sector in the stock market
3/7/2018,"['PTCL, Netflix ink agreement']",TechComm,Sector in the stock market
3/25/2018,['TPL Life Insurance launches ‘TPL OPD Sahulat’'],TechComm,Sector in the stock market
3/28/2018,"['TMFB, TPL Insurance expand JV scope']",TechComm,Sector in the stock market
3/30/2018,['TRG’s subsidiary postpones IPO'],TechComm,Sector in the stock market
4/13/2018,['PTCL’s quarterly profit down 10pc'],TechComm,Sector in the stock market
5/15/2018,['Booming telecom digital era overwhelms old mode of communication'],TechComm,Sector in the stock market
6/22/2018,['PTCL gets ISO certifications'],TechComm,Sector in the stock market
7/13/2018,"['PTCL, PSEB ink agreement']",TechComm,Sector in the stock market
7/19/2018,['Weak rupee slashes PTCL’s profit by 45pc in six months'],TechComm,Sector in the stock market
7/20/2008,['Engineering companies unified as ‘Avanceon’'],AVN,Stock in the TechComm Sector
11/20/2013,['Avanceon plans to issue 25m shares'],AVN,Stock in the TechComm Sector
2/11/2014,['Avanceon’s shares trading at LSE from today'],AVN,Stock in the TechComm Sector
9/5/2014,['Avanceon enters into business partnership with ATCO'],AVN,Stock in the TechComm Sector
10/15/2015,['Avanceon FZE honoured'],AVN,Stock in the TechComm Sector
3/23/2008,['NetSol inks agreement for computer-based training in Pakistan'],NETSOL,Stock in the TechComm Sector
5/1/2008,['NetSol net income soars by 62.3pc'],NETSOL,Stock in the TechComm Sector
5/4/2008,"['Microsoft, NetSol ink agreement']",NETSOL,Stock in the TechComm Sector
5/8/2008,['NetSol plans further investment'],NETSOL,Stock in the TechComm Sector
5/31/2008,['NetSol and PSEB launch apprenticeship programme'],NETSOL,Stock in the TechComm Sector
6/17/2008,['NetSol to commence trading on Dubai exchange on June 16'],NETSOL,Stock in the TechComm Sector
6/18/2008,['NetSol enters European market with LeaseSoft'],NETSOL,Stock in the TechComm Sector
6/28/2008,['NetSol inks distributor agreement'],NETSOL,Stock in the TechComm Sector
9/12/2008,['NetSol declares 10pc cash dividend'],NETSOL,Stock in the TechComm Sector
10/17/2008,['ACCA recognises NetSol’s commitment to train students'],NETSOL,Stock in the TechComm Sector
7/29/2009,"['NetSol, Chinese bank sign contract']",NETSOL,Stock in the TechComm Sector
9/16/2009,['NetSol profit drops to Rs294m'],NETSOL,Stock in the TechComm Sector
7/21/2010,"['Netsol to acquire sister firms in US, Europe']",NETSOL,Stock in the TechComm Sector
8/25/2010,['Netsol’s global offices collect funds for floods'],NETSOL,Stock in the TechComm Sector
9/28/2010,['NetSol agrees on terms for new global framework deal'],NETSOL,Stock in the TechComm Sector
10/17/2010,['Australian team visits Netsol facility'],NETSOL,Stock in the TechComm Sector
10/29/2010,['NetSol to highlight floods at NASDAQ'],NETSOL,Stock in the TechComm Sector
11/3/2010,['NetSol revenue increases by 4.5 percent'],NETSOL,Stock in the TechComm Sector
1/25/2011,['Netsol achieves ISO 20000'],NETSOL,Stock in the TechComm Sector
2/15/2011,['NetSol revenue increases to Rs549 million'],NETSOL,Stock in the TechComm Sector
4/14/2011,['World Bank team visits NetSol'],NETSOL,Stock in the TechComm Sector
7/12/2013,['NetSol selects Toshiba’s VRF system'],NETSOL,Stock in the TechComm Sector
12/24/2015,['NetSol signs $100mln contract to implement solutions'],NETSOL,Stock in the TechComm Sector
12/19/2016,['Pak Datacom head not quitting despite expiry of tenure'],PAKD,Stock in the TechComm Sector
4/5/2006,['PTCL Phone Book distribution in June'],PTC,Stock in the TechComm Sector
4/6/2006,['PTCL asked to reduce bandwidth rates'],PTC,Stock in the TechComm Sector
4/7/2006,['PTCL asked to reduce bandwidth rates'],PTC,Stock in the TechComm Sector
4/8/2006,['Handing over of PTCL management to Etisalat on 12th'],PTC,Stock in the TechComm Sector
4/11/2006,['PTCL moves against Internet telephony'],PTC,Stock in the TechComm Sector
4/14/2006,['CDC inducts 1.326bn PTCL shares'],PTC,Stock in the TechComm Sector
4/21/2006,['Promotions in PTCL'],PTC,Stock in the TechComm Sector
4/28/2006,['PTCL offers V-fone'],PTC,Stock in the TechComm Sector
5/11/2006,['PTCL new packages lack PTA approval'],PTC,Stock in the TechComm Sector
5/16/2006,['PTCL plans Rs20bn expansion project'],PTC,Stock in the TechComm Sector
5/20/2006,"['PTCL reduces bandwidth rates', 'PTCL declares Rs3 cash dividend']",PTC,Stock in the TechComm Sector
6/7/2006,"['PTCL may pay more dividend to government', 'PTA asks PTCL to match Indian bandwidth rates']",PTC,Stock in the TechComm Sector
6/24/2006,"['PTA asks PTCL to rationalise bandwidth prices', 'Paknet owes Rs100m to PTCL', 'PTCL sell-off to improve efficiency: PM']",PTC,Stock in the TechComm Sector
7/27/2006,['PTCL moves LHC against bandwidth rate cut decision'],PTC,Stock in the TechComm Sector
8/8/2006,"['PTCL cuts local, international call rates']",PTC,Stock in the TechComm Sector
8/9/2006,['PTCL cuts tariff without regulator’s nod'],PTC,Stock in the TechComm Sector
8/24/2006,['LDI operators urge PTA to reverse PTCL’s tariff cut'],PTC,Stock in the TechComm Sector
8/25/2006,['LDI interface connection: PTA asks PTCL to cut tariff'],PTC,Stock in the TechComm Sector
8/26/2006,['PTCL to charge missed calls'],PTC,Stock in the TechComm Sector
8/31/2006,['Govt ‘lost Rs 23.6bn in revised PTCL sale’'],PTC,Stock in the TechComm Sector
9/2/2006,['Opposition to move parliament against revised PTCL sale'],PTC,Stock in the TechComm Sector
9/7/2006,['MMA moves Senate against PTCL sale'],PTC,Stock in the TechComm Sector
9/8/2006,['Motion on PTCL sale moved in NA'],PTC,Stock in the TechComm Sector
9/9/2006,['PTCL ‘tariff cut’ sparks controversy'],PTC,Stock in the TechComm Sector
9/15/2006,['PTCL posts Rs20.7bn net profit'],PTC,Stock in the TechComm Sector
9/21/2006,"['PTA rejects PTCL plea to charge ‘17’ calls', 'PTCL cuts call rates']",PTC,Stock in the TechComm Sector
9/23/2006,['PTCL CBA asked to avoid pressure tactics'],PTC,Stock in the TechComm Sector
10/1/2006,['SC moved against PTCL sale to Etisalat'],PTC,Stock in the TechComm Sector
10/25/2006,['Consumer complaints against PTCL at 99pc'],PTC,Stock in the TechComm Sector
10/31/2006,['PTCL Q1 profit down 6.9pc'],PTC,Stock in the TechComm Sector
11/3/2006,['Pemra awards first-ever IPTV licence to PTCL'],PTC,Stock in the TechComm Sector
11/15/2006,['PTCL to complete maintenance work in 15 days'],PTC,Stock in the TechComm Sector
1/1/2007,"['PTCL set to lay off 30,000 employees']",PTC,Stock in the TechComm Sector
1/6/2007,['No plan to lay off any employee: PTCL'],PTC,Stock in the TechComm Sector
1/18/2007,['PTCL ready to meet challenges'],PTC,Stock in the TechComm Sector
1/25/2007,['PTCL denies bandwidth rate cut'],PTC,Stock in the TechComm Sector
1/28/2007,['NADRA goes mobile with PTCL V'],PTC,Stock in the TechComm Sector
2/15/2007,['PTCL signs deal to implement MNP'],PTC,Stock in the TechComm Sector
2/17/2007,['LHC dismisses PTCL appeal in tariff case'],PTC,Stock in the TechComm Sector
2/22/2007,['PTCL moving SC to block low Internet rates'],PTC,Stock in the TechComm Sector
3/3/2007,['PTCL blocks vital Internet sites to comply with SC order'],PTC,Stock in the TechComm Sector
3/5/2007,['PTCL quietly reverses action to normalise Internet'],PTC,Stock in the TechComm Sector
3/16/2007,['Body to monitor PTCL services'],PTC,Stock in the TechComm Sector
4/10/2007,"['PTCL moves SC against bandwidth price cut', 'KCCI asks PTCL to make intra-exchange calls free']",PTC,Stock in the TechComm Sector
4/24/2007,['PTCL aims top ranking'],PTC,Stock in the TechComm Sector
5/1/2007,"['PTCL, POL, NBP declare results']",PTC,Stock in the TechComm Sector
5/9/2007,['Terrorists may hit PTCL installations'],PTC,Stock in the TechComm Sector
5/17/2007,['ISPs hit out at PTCL for ‘distorting competition’'],PTC,Stock in the TechComm Sector
5/29/2007,"['PTCL management, union talk on VSS']",PTC,Stock in the TechComm Sector
6/3/2007,['‘No forced layoff in PTCL under VSS’'],PTC,Stock in the TechComm Sector
6/12/2007,['PTCL’s DSL service faces legal challenge'],PTC,Stock in the TechComm Sector
6/17/2007,['Strikes in PTCL unlawful: NIRC'],PTC,Stock in the TechComm Sector
6/21/2007,['ISPs asked to withdraw petition against PTCL'],PTC,Stock in the TechComm Sector
7/11/2007,['PTCL cuts IP bandwidth rates up to 30pc'],PTC,Stock in the TechComm Sector
8/4/2007,['PTA approves PTCL’s DSL rate cut'],PTC,Stock in the TechComm Sector
8/29/2007,['PM praises opportunities for PTCL staff'],PTC,Stock in the TechComm Sector
8/30/2007,['SC moved against PTCL privatisation'],PTC,Stock in the TechComm Sector
9/2/2007,"['Senate body lashes out at CDA, Wapda, PTCL']",PTC,Stock in the TechComm Sector
9/15/2007,['PTCL net profit falls 24.7pc'],PTC,Stock in the TechComm Sector
9/18/2007,['Etisalat plans PTCL staff cut'],PTC,Stock in the TechComm Sector
9/20/2007,['PTCL regular employees get raise'],PTC,Stock in the TechComm Sector
9/25/2007,['PTCL may announce VSS to lay off staff'],PTC,Stock in the TechComm Sector
10/19/2007,['CCoP approves VSS for PTCL'],PTC,Stock in the TechComm Sector
10/31/2007,['PTCL’s pre-tax profit drops to Rs4.6 billion'],PTC,Stock in the TechComm Sector
11/3/2007,"['Customers annoyed over PTCL’s VMS', 'PTCL holds annual general meeting']",PTC,Stock in the TechComm Sector
11/15/2007,"['PTCL loses 0.3m landline customers to cell, WLL services']",PTC,Stock in the TechComm Sector
11/24/2007,['‘PTCL’s VSS scheme voluntary’'],PTC,Stock in the TechComm Sector
11/27/2007,['PTCL offers broadband services to all customers'],PTC,Stock in the TechComm Sector
12/7/2007,"['Excise dept rejects PTCL’s plea, asks to pay property tax']",PTC,Stock in the TechComm Sector
12/8/2007,['PTA puts curbs on PTCL packages'],PTC,Stock in the TechComm Sector
12/12/2007,['PTCL cuts rates for IDD calls'],PTC,Stock in the TechComm Sector
12/19/2007,['PTCL signs contract to recover bad debts'],PTC,Stock in the TechComm Sector
12/21/2007,['Unwanted PTCL package People find it difficult to deactivate'],PTC,Stock in the TechComm Sector
1/17/2008,"['PTCL, HBL agree to provide online services']",PTC,Stock in the TechComm Sector
1/30/2008,['Pakistan Package irks PTCL subscribers'],PTC,Stock in the TechComm Sector
1/31/2008,['PTCL employees unhappy with VSS'],PTC,Stock in the TechComm Sector
2/8/2008,['PTCL to invest $50m in new telecom cable'],PTC,Stock in the TechComm Sector
2/15/2008,['PTCL revamps communication network'],PTC,Stock in the TechComm Sector
2/28/2008,['PTCL posts Rs9.5bn loss'],PTC,Stock in the TechComm Sector
4/1/2008,['PTCL launches three new packages'],PTC,Stock in the TechComm Sector
4/5/2008,"['PTCL, Habib Rafiq ink MoU']",PTC,Stock in the TechComm Sector
4/6/2008,['PTCL charging for value-added services on dead phones'],PTC,Stock in the TechComm Sector
4/8/2008,['PTCL to improve staff training'],PTC,Stock in the TechComm Sector
4/12/2008,['PTCL phones lie dead'],PTC,Stock in the TechComm Sector
4/16/2008,['PTCL cuts local call duration without informing customers'],PTC,Stock in the TechComm Sector
4/24/2008,['PTCL criticised over subscriber packages'],PTC,Stock in the TechComm Sector
4/30/2008,"['Industries suffer as PTCL fails to revive dead phones', 'PTCL profit falls sharply']",PTC,Stock in the TechComm Sector
5/4/2008,['PTCL wins ‘Best Banking Technology’ award'],PTC,Stock in the TechComm Sector
5/18/2008,['PTCL daily wagers observe ‘Black Day’'],PTC,Stock in the TechComm Sector
6/18/2008,['People want PTCL services improved'],PTC,Stock in the TechComm Sector
6/26/2008,['PTCL to lay high-speed network at KSE'],PTC,Stock in the TechComm Sector
6/27/2008,['PTCL introduces unified pay scale'],PTC,Stock in the TechComm Sector
6/28/2008,['PTCL declares 2008-09 ‘Customer Care Year’'],PTC,Stock in the TechComm Sector
7/4/2008,['PTCL withdraws internet circuit price hike'],PTC,Stock in the TechComm Sector
7/16/2008,['UPS favours PTCL’s employees: management'],PTC,Stock in the TechComm Sector
7/17/2008,['Panel to probe Rangers clash with PTCL workers'],PTC,Stock in the TechComm Sector
7/18/2008,"['Unified Pay Scale withdrawn, PTCL strike continues']",PTC,Stock in the TechComm Sector
7/19/2008,"['PTCL workers rift with management, govt persists', 'Cabinet body reviews dispute at PTCL']",PTC,Stock in the TechComm Sector
7/29/2008,['Disruptions at PTCL cause losses to private operators'],PTC,Stock in the TechComm Sector
7/31/2008,"['PTCL management, employees ink MoU']",PTC,Stock in the TechComm Sector
8/7/2008,['KCCI asks PTCL to provide proper facilities'],PTC,Stock in the TechComm Sector
8/13/2008,['PTCL introduces ‘easylearning’'],PTC,Stock in the TechComm Sector
8/23/2008,['PTCL bills on faulty phones'],PTC,Stock in the TechComm Sector
8/30/2008,['PTCL employees urged to work hard'],PTC,Stock in the TechComm Sector
9/11/2008,"['PTCL, CISCO, NUST to establish internet technology centre']",PTC,Stock in the TechComm Sector
9/13/2008,['Property transfer objections delay PTCL’s payment of $266m'],PTC,Stock in the TechComm Sector
9/25/2008,['PTCL announces Rs2.82bn loss'],PTC,Stock in the TechComm Sector
10/9/2008,['PTCL and Ufone ink strategic agreement with Microsoft'],PTC,Stock in the TechComm Sector
10/10/2008,"['PTCL hikes UAN tariff', 'PTCL donates Rs10m for BISP']",PTC,Stock in the TechComm Sector
10/15/2008,['PTCL inks agreement with Wi-tribe'],PTC,Stock in the TechComm Sector
10/26/2008,['PTCL to provide Skylink service to Telenor'],PTC,Stock in the TechComm Sector
10/31/2008,['PTCL earns Rs3.2bn profit'],PTC,Stock in the TechComm Sector
11/4/2008,['PTCL broadband available in 103 cities'],PTC,Stock in the TechComm Sector
11/6/2008,['PTCL to deploy GIS solution'],PTC,Stock in the TechComm Sector
12/16/2008,['PTCL signs agreement to provide ICT services'],PTC,Stock in the TechComm Sector
12/21/2008,['Internet services to be fully restored by Sunday: PTCL'],PTC,Stock in the TechComm Sector
1/1/2009,['Blast destroys PTCL exchange in Wana'],PTC,Stock in the TechComm Sector
1/2/2009,['PTCL signs revenue sharing agreements with major ISPs'],PTC,Stock in the TechComm Sector
1/8/2009,['PTCL staff keep telecom network alive in Swat'],PTC,Stock in the TechComm Sector
1/21/2009,['Efforts on to resolve PTCL issues: Qamar'],PTC,Stock in the TechComm Sector
1/24/2009,['PTCL’s development plan discussed'],PTC,Stock in the TechComm Sector
1/25/2009,['PTCL broadband service grows 48 per cent'],PTC,Stock in the TechComm Sector
2/8/2009,['PTCL to issue one-page bills'],PTC,Stock in the TechComm Sector
2/20/2009,"['PTCL stops issuing detailed bills, customers annoyed']",PTC,Stock in the TechComm Sector
2/25/2009,['PTCL wins contract for new ISE building'],PTC,Stock in the TechComm Sector
3/25/2009,['PTCL to continue detailed billing for 3 months'],PTC,Stock in the TechComm Sector
4/28/2009,['PTCL to expand broadband services'],PTC,Stock in the TechComm Sector
5/1/2009,['PTCL posts Rs7.2bn profit'],PTC,Stock in the TechComm Sector
5/15/2009,['PTCL working on improving services'],PTC,Stock in the TechComm Sector
6/3/2009,['CCOP wants PTCL assets issue resolved'],PTC,Stock in the TechComm Sector
6/7/2009,"['PTCL changes numbers to 8 digits in Karachi, Lahore']",PTC,Stock in the TechComm Sector
7/23/2009,['NA body for strict action against PTCL president'],PTC,Stock in the TechComm Sector
7/25/2009,['PTA to conduct quality survey of PTCL in August'],PTC,Stock in the TechComm Sector
7/28/2009,['PTCL low-grade employees demand bonus'],PTC,Stock in the TechComm Sector
8/19/2009,['PTCL not to charge line-rent for out-of-order phones'],PTC,Stock in the TechComm Sector
8/29/2009,['NA body shows reservations about PTCL privatisation'],PTC,Stock in the TechComm Sector
9/4/2009,"['PTCL employees get bonus, pay raise']",PTC,Stock in the TechComm Sector
9/11/2009,['PTCL starts action against protesters'],PTC,Stock in the TechComm Sector
9/18/2009,['Shrinking subscriber base hits PTCL revenue'],PTC,Stock in the TechComm Sector
9/30/2009,['PTCL earns Rs9.1bn'],PTC,Stock in the TechComm Sector
12/1/2009,['PTCL asked to set up help desk at KCCI'],PTC,Stock in the TechComm Sector
12/24/2009,['PTCL assures KCCI of speedy rectification of complaints'],PTC,Stock in the TechComm Sector
12/31/2009,['PTCL awarded at Hamburg'],PTC,Stock in the TechComm Sector
1/1/2010,['ISPs unhappy with PTCL'],PTC,Stock in the TechComm Sector
1/7/2010,['NA body slams PTCL for inability to meet obligations'],PTC,Stock in the TechComm Sector
2/4/2010,"['PTCL announces Rs6.7bn PAT, no payout']",PTC,Stock in the TechComm Sector
2/12/2010,['PTCL opens Pakistan’s largest data centre'],PTC,Stock in the TechComm Sector
3/16/2010,['PTCL EVO Now Offers Exciting New packages'],PTC,Stock in the TechComm Sector
3/27/2010,['PTCL Re launches Voice mail Service'],PTC,Stock in the TechComm Sector
4/1/2010,"['PTCL privatisation deal unfair, contrary to rules: minister']",PTC,Stock in the TechComm Sector
4/2/2010,['Etisalat links  payment to transfer of PTCL properties'],PTC,Stock in the TechComm Sector
4/20/2010,"['HEC, PTCL enter into agreement']",PTC,Stock in the TechComm Sector
4/21/2010,['No obligation exists to cede title of PTCL properties: minister'],PTC,Stock in the TechComm Sector
4/24/2010,['Govt moves to resolve property dispute with PTCL'],PTC,Stock in the TechComm Sector
4/28/2010,['PTCL to provide Rs6 billion loan to Ufone for operations'],PTC,Stock in the TechComm Sector
4/30/2010,['PTCL earnings  surge by 31pc'],PTC,Stock in the TechComm Sector
5/5/2010,['Etisalat may acquire another 26pc PTCL stakes'],PTC,Stock in the TechComm Sector
5/20/2010,['PTCL management perturbed over decline in revenue growth'],PTC,Stock in the TechComm Sector
6/2/2010,['PTCL posts nominal growth in revenues'],PTC,Stock in the TechComm Sector
6/16/2010,['PTCL projects over Rs9bn profit for next financial year'],PTC,Stock in the TechComm Sector
7/2/2010,['Etisalat seeks PTCL deal discount'],PTC,Stock in the TechComm Sector
7/4/2010,['PTCL fails to upgrade Smart TV service for subscribers'],PTC,Stock in the TechComm Sector
7/7/2010,"['PTCL to gain 167,000 broadband users from 4 USF projects']",PTC,Stock in the TechComm Sector
7/16/2010,['PTCL cuts phone installation charges'],PTC,Stock in the TechComm Sector
8/7/2010,['PTCL donates for flood relief'],PTC,Stock in the TechComm Sector
8/14/2010,"['PTCL, WISECOMM ink agreement']",PTC,Stock in the TechComm Sector
8/22/2010,['PTCL raises  salary of employees'],PTC,Stock in the TechComm Sector
8/23/2010,['PTCL Union says peaceful protest is their right'],PTC,Stock in the TechComm Sector
8/28/2010,['Union leader accuses PTCL of delaying wage increase'],PTC,Stock in the TechComm Sector
9/1/2010,"['Angry agitation of PTCL workers continues', 'PTCL workers strike cripples business, trade activities']",PTC,Stock in the TechComm Sector
9/2/2010,['Khosa says PTCL bound by agreement to raise workers’ salaries'],PTC,Stock in the TechComm Sector
9/3/2010,['PTCL clarifies news item'],PTC,Stock in the TechComm Sector
9/4/2010,['11 injured as PTCL workers clash with police'],PTC,Stock in the TechComm Sector
9/7/2010,['PTCL’s management urges employees to resume work'],PTC,Stock in the TechComm Sector
10/8/2010,['PTCL launches global IP connect service'],PTC,Stock in the TechComm Sector
10/13/2010,['PTCL Broadband now  offers 10Mbps speed'],PTC,Stock in the TechComm Sector
11/17/2010,['PTCL launches diversified call packages for customers'],PTC,Stock in the TechComm Sector
12/4/2010,['Presentation on PTCL privatisation required in-camera session: Hafeez'],PTC,Stock in the TechComm Sector
12/22/2010,['PTCL expects 20pc growth with launch of IMEWE cable: official'],PTC,Stock in the TechComm Sector
2/8/2011,['PTCL continues ‘PTCL Bonanza Thrill’ for its customers'],PTC,Stock in the TechComm Sector
2/24/2011,['Pakistan to pursue UAE for release of PTCL proceeds'],PTC,Stock in the TechComm Sector
2/25/2011,['PTCL profit declines by 25pc'],PTC,Stock in the TechComm Sector
2/27/2011,['Changes in PTCL’s management'],PTC,Stock in the TechComm Sector
3/30/2011,['PTCL enters deal to promote WLL services'],PTC,Stock in the TechComm Sector
4/1/2011,['PTCL introduces 3G Evo Wi-Fi Cloud'],PTC,Stock in the TechComm Sector
5/25/2011,['PTCL’s Evo Wi-Fi connects multiple users'],PTC,Stock in the TechComm Sector
3/1/2012,['Commission justifies PTCL privatisation'],PTC,Stock in the TechComm Sector
3/31/2012,['PTCL issued notice over tax evasion on imported equipment'],PTC,Stock in the TechComm Sector
4/26/2012,['PTCL earns Rs4.2bn profit'],PTC,Stock in the TechComm Sector
5/10/2012,['PTCL introduces ‘Life Made Easy’ re-charge service'],PTC,Stock in the TechComm Sector
6/5/2012,['PTCL commemorates World Environment Day'],PTC,Stock in the TechComm Sector
6/9/2012,['PTCL wins Rs3.15bn project'],PTC,Stock in the TechComm Sector
6/13/2012,['PTCL organises conferences'],PTC,Stock in the TechComm Sector
6/14/2012,['PTCL participates in Broadband-IPTV Asia conference'],PTC,Stock in the TechComm Sector
6/19/2012,['PTCL revamps voice mail service'],PTC,Stock in the TechComm Sector
6/22/2012,['PTCL brings free wi-fi modem for its broadband customers'],PTC,Stock in the TechComm Sector
6/28/2012,['PTCL offers broadband upgradation'],PTC,Stock in the TechComm Sector
7/17/2012,['PTCL launches One-Year paid internship program'],PTC,Stock in the TechComm Sector
7/20/2012,['PTA cancels 59.6m PTCL phone numbers'],PTC,Stock in the TechComm Sector
7/26/2012,['PTCL introduces revised ‘3G EVO Unlimited’ packages'],PTC,Stock in the TechComm Sector
8/2/2012,['PTCL services at Margalla Housing Society'],PTC,Stock in the TechComm Sector
8/9/2012,['PTCL inaugurates One Stop Shop'],PTC,Stock in the TechComm Sector
8/29/2012,['PTCL ‘VideoCon’ service extended countrywide'],PTC,Stock in the TechComm Sector
9/12/2012,['PTCL earns Rs7.21 billion'],PTC,Stock in the TechComm Sector
9/15/2012,['PTCL VSS extended till 27th'],PTC,Stock in the TechComm Sector
9/18/2012,['PTCL’s illegal use of frequency continues unabated'],PTC,Stock in the TechComm Sector
9/19/2012,['PTCL says it owns spectrum'],PTC,Stock in the TechComm Sector
9/26/2012,"['Lawlessness disrupts service in Waziristan, says PTCL']",PTC,Stock in the TechComm Sector
10/20/2012,['PTCL holds 17th AGM'],PTC,Stock in the TechComm Sector
10/24/2012,['PTCL Internship Program – A CSR initiative to benefit 500 graduates'],PTC,Stock in the TechComm Sector
12/8/2012,['PTCL inaugurates Abbottabad'],PTC,Stock in the TechComm Sector
12/15/2012,['PTCL inaugurates Jehlum One Stop Shop with a new look'],PTC,Stock in the TechComm Sector
2/9/2013,['PTCL gives motorcycles to employees'],PTC,Stock in the TechComm Sector
2/14/2013,"['PTCL announces EPS of Rs1.69', 'Stocks continue bullish trend led by PTCL, OGDCL']",PTC,Stock in the TechComm Sector
3/5/2013,['PTCL honoured'],PTC,Stock in the TechComm Sector
3/6/2013,['PTCL’s annual report earns SAFA’s award'],PTC,Stock in the TechComm Sector
3/12/2013,['PTCL organises HR Conclave 2013'],PTC,Stock in the TechComm Sector
3/13/2013,['PTCL holds HR Conclave 2013'],PTC,Stock in the TechComm Sector
3/23/2013,['PTCL decides to raise salaries'],PTC,Stock in the TechComm Sector
3/29/2013,"['PTCL, Daewoo sign deal']",PTC,Stock in the TechComm Sector
4/17/2013,['PTCL holds its annual general meeting'],PTC,Stock in the TechComm Sector
4/24/2013,['PTCL maintains leadership'],PTC,Stock in the TechComm Sector
4/30/2013,['PTCL warns customers'],PTC,Stock in the TechComm Sector
5/24/2013,['PTCL launches reconnect campaign'],PTC,Stock in the TechComm Sector
5/26/2013,"['PTCL launches new EVO, Nitro Cloud devices']",PTC,Stock in the TechComm Sector
5/29/2013,['PTCL honours retailers'],PTC,Stock in the TechComm Sector
5/30/2013,['PTCL honors retailers and distribution partners'],PTC,Stock in the TechComm Sector
6/7/2013,['PTCL initiates leadership excellence programme'],PTC,Stock in the TechComm Sector
6/19/2013,['PTCL concludes leadership conference'],PTC,Stock in the TechComm Sector
6/22/2013,['PTCL launches summer programme'],PTC,Stock in the TechComm Sector
7/17/2013,['PTCL announces Rs1.54 EPS'],PTC,Stock in the TechComm Sector
7/20/2013,['PTCL posts 31pc growth in revenue for first half'],PTC,Stock in the TechComm Sector
8/6/2013,['PTCL to provide data housing centre'],PTC,Stock in the TechComm Sector
9/7/2013,['PTCL to invest in submarine cable'],PTC,Stock in the TechComm Sector
9/20/2013,['PTCL announces special discount for new customers'],PTC,Stock in the TechComm Sector
11/3/2013,"['HBL, PTCL ink ATM agreement']",PTC,Stock in the TechComm Sector
11/29/2013,['PTCL extends partnership with DHA'],PTC,Stock in the TechComm Sector
12/21/2013,['PTCL submits binding offer to acquire Warid'],PTC,Stock in the TechComm Sector
12/22/2013,['PTCL rolls out ‘Taleemi Cloud’ for AIOU'],PTC,Stock in the TechComm Sector
1/30/2014,['‘PTCL to invest in submarine cable consortium’'],PTC,Stock in the TechComm Sector
1/31/2014,['PTCL inks agreement to build largest submarine cable system'],PTC,Stock in the TechComm Sector
2/4/2014,['PTCL announces cash dividend of Re1'],PTC,Stock in the TechComm Sector
2/5/2014,"['PTCL Group announces impressive financial results,posting record revenue over Rs. 131.2 billion for FY2013']",PTC,Stock in the TechComm Sector
2/19/2014,['PTCL launches internship programme'],PTC,Stock in the TechComm Sector
3/11/2014,"['PTCL, Khushhali Bank sign agreement']",PTC,Stock in the TechComm Sector
3/13/2014,['PTCL organises drive'],PTC,Stock in the TechComm Sector
3/14/2014,['PTCL holds Eco-hike and tree plantation drive to preserve environment'],PTC,Stock in the TechComm Sector
3/15/2014,['PTCL launches corporate SMS service'],PTC,Stock in the TechComm Sector
